Index;Sepal.Length;Sepal.Width;Petal.Length;Petal.Width;Species
1;5,342650877;3,5;1,4;0,2;setosa
2;5,142650877;3;1,4;0,2;setosa
3;4,942650877;3,2;1,3;0,2;setosa
4;4,842650877;3,1;1,5;0,2;setosa
5;5,242650877;3,6;1,4;0,2;setosa
6;5,642650877;3,9;1,7;0,4;setosa
7;4,842650877;3,4;1,4;0,3;setosa
8;5,242650877;3,4;1,5;0,2;setosa
9;4,642650877;2,9;1,4;0,2;setosa
10;5,142650877;3,1;1,5;0,1;setosa
11;5,642650877;3,7;1,5;0,2;setosa
12;5,042650877;3,4;1,6;0,2;setosa
13;5,042650877;3;1,4;0,1;setosa
14;4,542650877;3;1,1;0,1;setosa
15;6,042650877;4;1,2;0,2;setosa
16;5,942650877;4,4;1,5;0,4;setosa
17;5,642650877;3,9;1,3;0,4;setosa
18;5,342650877;3,5;1,4;0,3;setosa
19;5,942650877;3,8;1,7;0,3;setosa
20;5,342650877;3,8;1,5;0,3;setosa
21;5,642650877;3,4;1,7;0,2;setosa
22;5,342650877;3,7;1,5;0,4;setosa
23;4,842650877;3,6;1;0,2;setosa
24;5,342650877;3,3;1,7;0,5;setosa
25;5,042650877;3,4;1,9;0,2;setosa
26;5,242650877;3;1,6;0,2;setosa
27;5,242650877;3,4;1,6;0,4;setosa
28;5,442650877;3,5;1,5;0,2;setosa
29;5,442650877;3,4;1,4;0,2;setosa
30;4,942650877;3,2;1,6;0,2;setosa
31;5,042650877;3,1;1,6;0,2;setosa
32;5,642650877;3,4;1,5;0,4;setosa
33;5,442650877;4,1;1,5;0,1;setosa
34;5,742650877;4,2;1,4;0,2;setosa
35;5,142650877;3,1;1,5;0,2;setosa
36;5,242650877;3,2;1,2;0,2;setosa
37;5,742650877;3,5;1,3;0,2;setosa
38;5,142650877;3,6;1,4;0,1;setosa
39;4,642650877;3;1,3;0,2;setosa
40;5,342650877;3,4;1,5;0,2;setosa
41;5,242650877;3,5;1,3;0,3;setosa
42;4,742650877;2,3;1,3;0,3;setosa
43;4,642650877;3,2;1,3;0,2;setosa
44;5,242650877;3,5;1,6;0,6;setosa
45;5,342650877;3,8;1,9;0,4;setosa
46;5,042650877;3;1,4;0,3;setosa
47;5,342650877;3,8;1,6;0,2;setosa
48;4,842650877;3,2;1,4;0,2;setosa
49;5,542650877;3,7;1,5;0,2;setosa
50;5,242650877;3,3;1,4;0,2;setosa
51;7,242650877;3,2;4,7;1,4;versicolor
52;6,642650877;3,2;4,5;1,5;versicolor
53;7,142650877;3,1;4,9;1,5;versicolor
54;5,742650877;2,3;4;1,3;versicolor
55;6,742650877;2,8;4,6;1,5;versicolor
56;5,942650877;2,8;4,5;1,3;versicolor
57;6,542650877;3,3;4,7;1,6;versicolor
58;5,142650877;2,4;3,3;1;versicolor
59;6,842650877;2,9;4,6;1,3;versicolor
60;5,442650877;2,7;3,9;1,4;versicolor
61;5,242650877;2;3,5;1;versicolor
62;6,142650877;3;4,2;1,5;versicolor
63;6,242650877;2,2;4;1;versicolor
64;6,342650877;2,9;4,7;1,4;versicolor
65;5,842650877;2,9;3,6;1,3;versicolor
66;6,942650877;3,1;4,4;1,4;versicolor
67;5,842650877;3;4,5;1,5;versicolor
68;6,042650877;2,7;4,1;1;versicolor
69;6,442650877;2,2;4,5;1,5;versicolor
70;5,842650877;2,5;3,9;1,1;versicolor
71;6,142650877;3,2;4,8;1,8;versicolor
72;6,342650877;2,8;4;1,3;versicolor
73;6,542650877;2,5;4,9;1,5;versicolor
74;6,342650877;2,8;4,7;1,2;versicolor
75;6,642650877;2,9;4,3;1,3;versicolor
76;6,842650877;3;4,4;1,4;versicolor
77;7,042650877;2,8;4,8;1,4;versicolor
78;6,942650877;3;5;1,7;versicolor
79;6,242650877;2,9;4,5;1,5;versicolor
80;5,942650877;2,6;3,5;1;versicolor
81;5,742650877;2,4;3,8;1,1;versicolor
